id;area;year;inflation_rate
131;KUJAWSKO-POMORSKIE;2007;102.3
132;KUJAWSKO-POMORSKIE;2008;104.4
133;KUJAWSKO-POMORSKIE;2009;103.3
134;KUJAWSKO-POMORSKIE;2010;102.6
135;KUJAWSKO-POMORSKIE;2011;104.6
136;KUJAWSKO-POMORSKIE;2012;103.7
137;KUJAWSKO-POMORSKIE;2013;101.1
138;KUJAWSKO-POMORSKIE;2014;99.8
139;KUJAWSKO-POMORSKIE;2015;99.1
140;KUJAWSKO-POMORSKIE;2016;99.5
141;KUJAWSKO-POMORSKIE;2017;102.0
142;KUJAWSKO-POMORSKIE;2018;101.6
143;KUJAWSKO-POMORSKIE;2019;102.3
144;KUJAWSKO-POMORSKIE;2020;103.6
145;POMORSKIE;2003;100.8
146;POMORSKIE;2004;103.2
147;POMORSKIE;2005;101.7
148;POMORSKIE;2006;100.7
149;POMORSKIE;2007;102.3
150;POMORSKIE;2008;103.9
151;POMORSKIE;2009;102.4
152;POMORSKIE;2010;102.6
153;POMORSKIE;2011;104.1
154;POMORSKIE;2012;103.4
155;POMORSKIE;2013;100.9
156;POMORSKIE;2014;99.9
157;POMORSKIE;2015;99.2
158;POMORSKIE;2016;99.7
159;POMORSKIE;2017;102.1
160;POMORSKIE;2018;101.9
161;POMORSKIE;2019;101.9
162;POMORSKIE;2020;103.4
163;WARMIÑSKO-MAZURSKIE;2003;100.3
164;WARMIÑSKO-MAZURSKIE;2004;103.6
165;WARMIÑSKO-MAZURSKIE;2005;102.2
166;WARMIÑSKO-MAZURSKIE;2006;100.6
167;WARMIÑSKO-MAZURSKIE;2007;102.3
168;WARMIÑSKO-MAZURSKIE;2008;104.3
169;WARMIÑSKO-MAZURSKIE;2009;103.3
170;WARMIÑSKO-MAZURSKIE;2010;103.1
171;WARMIÑSKO-MAZURSKIE;2011;104.6
172;WARMIÑSKO-MAZURSKIE;2012;104.1
173;WARMIÑSKO-MAZURSKIE;2013;100.9
174;WARMIÑSKO-MAZURSKIE;2014;99.9
175;WARMIÑSKO-MAZURSKIE;2015;99.2
176;WARMIÑSKO-MAZURSKIE;2016;99.5
177;WARMIÑSKO-MAZURSKIE;2017;101.6
178;WARMIÑSKO-MAZURSKIE;2018;101.5
179;WARMIÑSKO-MAZURSKIE;2019;102.6
180;WARMIÑSKO-MAZURSKIE;2020;103.6
181;£ÓDZKIE;2003;100.7
182;£ÓDZKIE;2004;103.5
183;£ÓDZKIE;2005;102.0
184;£ÓDZKIE;2006;101.2
185;£ÓDZKIE;2007;102.8
186;£ÓDZKIE;2008;104.1
187;£ÓDZKIE;2009;103.5
188;£ÓDZKIE;2010;102.8
189;£ÓDZKIE;2011;104.4
190;£ÓDZKIE;2012;103.8
191;£ÓDZKIE;2013;100.8
192;£ÓDZKIE;2014;99.5
193;£ÓDZKIE;2015;98.8
194;£ÓDZKIE;2016;99.4
195;£ÓDZKIE;2017;102.1
196;£ÓDZKIE;2018;101.5
197;£ÓDZKIE;2019;102.6
198;£ÓDZKIE;2020;103.6
199;ŒWIÊTOKRZYSKIE;2003;100.2
200;ŒWIÊTOKRZYSKIE;2004;103.5
201;ŒWIÊTOKRZYSKIE;2005;102.4
202;ŒWIÊTOKRZYSKIE;2006;101.1
203;ŒWIÊTOKRZYSKIE;2007;102.7
204;ŒWIÊTOKRZYSKIE;2008;104.5
205;ŒWIÊTOKRZYSKIE;2009;103.8
206;ŒWIÊTOKRZYSKIE;2010;102.6
207;ŒWIÊTOKRZYSKIE;2011;104.7
208;ŒWIÊTOKRZYSKIE;2012;104.0
209;ŒWIÊTOKRZYSKIE;2013;100.8
210;ŒWIÊTOKRZYSKIE;2014;99.7
211;ŒWIÊTOKRZYSKIE;2015;98.3
212;ŒWIÊTOKRZYSKIE;2016;99.4
213;ŒWIÊTOKRZYSKIE;2017;102.2
214;ŒWIÊTOKRZYSKIE;2018;101.9
215;ŒWIÊTOKRZYSKIE;2019;102.5
216;ŒWIÊTOKRZYSKIE;2020;103.5
217;LUBELSKIE;2003;100.5
218;LUBELSKIE;2004;103.4
219;LUBELSKIE;2005;102.0
220;LUBELSKIE;2006;100.8
221;LUBELSKIE;2007;102.3
222;LUBELSKIE;2008;104.1
223;LUBELSKIE;2009;103.3
224;LUBELSKIE;2010;101.8
225;LUBELSKIE;2011;104.0
226;LUBELSKIE;2012;103.8
227;LUBELSKIE;2013;100.7
228;LUBELSKIE;2014;100.0
229;LUBELSKIE;2015;98.8
230;LUBELSKIE;2016;99.1
231;LUBELSKIE;2017;102.2
232;LUBELSKIE;2018;101.4
233;LUBELSKIE;2019;102.3
234;LUBELSKIE;2020;102.8
235;PODKARPACKIE;2003;100.9
236;PODKARPACKIE;2004;103.7
237;PODKARPACKIE;2005;102.3
238;PODKARPACKIE;2006;101.3
239;PODKARPACKIE;2007;102.7
240;PODKARPACKIE;2008;104.4
241;PODKARPACKIE;2009;103.9
242;PODKARPACKIE;2010;103.2
243;PODKARPACKIE;2011;104.9
244;PODKARPACKIE;2012;104.1
245;PODKARPACKIE;2013;100.7
246;PODKARPACKIE;2014;100.2
247;PODKARPACKIE;2015;98.9
248;PODKARPACKIE;2016;99.1
249;PODKARPACKIE;2017;102.1
250;PODKARPACKIE;2018;101.6
251;PODKARPACKIE;2019;102.3
252;PODKARPACKIE;2020;103.2
253;PODLASKIE;2003;100.8
254;PODLASKIE;2004;103.5
255;PODLASKIE;2005;102.0
256;PODLASKIE;2006;100.9
257;PODLASKIE;2007;102.3
258;PODLASKIE;2008;104.3
259;PODLASKIE;2009;103.2
260;PODLASKIE;2010;102.3
261;PODLASKIE;2011;104.5
262;PODLASKIE;2012;103.7
263;PODLASKIE;2013;100.6
264;PODLASKIE;2014;99.7
265;PODLASKIE;2015;98.7
266;PODLASKIE;2016;99.0
267;PODLASKIE;2017;102.1
268;PODLASKIE;2018;101.4
269;PODLASKIE;2019;102.4
270;PODLASKIE;2020;103.0
271;MAZOWIECKIE;2003;101.1
272;MAZOWIECKIE;2004;103.1
273;MAZOWIECKIE;2005;102.1
274;MAZOWIECKIE;2006;101.1
275;MAZOWIECKIE;2007;102.2
276;MAZOWIECKIE;2008;103.9
277;MAZOWIECKIE;2009;103.4
278;MAZOWIECKIE;2010;102.4
279;MAZOWIECKIE;2011;103.7
280;MAZOWIECKIE;2012;103.5
281;MAZOWIECKIE;2013;100.8
282;MAZOWIECKIE;2014;100.0
283;MAZOWIECKIE;2015;99.1
284;MAZOWIECKIE;2016;99.5
285;MAZOWIECKIE;2017;101.9
286;MAZOWIECKIE;2018;101.6
287;MAZOWIECKIE;2019;102.2
288;MAZOWIECKIE;2020;103.3
