id;area;year;average_1_sq_meter
132;ŒWIÊTOKRZYSKIE;2020;4624
133;LUBELSKIE;2010;3612
134;LUBELSKIE;2011;3713
135;LUBELSKIE;2012;3736
136;LUBELSKIE;2013;3620
137;LUBELSKIE;2014;3502
138;LUBELSKIE;2015;3794
139;LUBELSKIE;2016;4041
140;LUBELSKIE;2017;4111
141;LUBELSKIE;2018;4528
142;LUBELSKIE;2019;4884
143;LUBELSKIE;2020;5829
144;PODKARPACKIE;2010;2797
145;PODKARPACKIE;2011;3054
146;PODKARPACKIE;2012;3365
147;PODKARPACKIE;2013;3375
148;PODKARPACKIE;2014;3526
149;PODKARPACKIE;2015;3844
150;PODKARPACKIE;2016;3452
151;PODKARPACKIE;2017;3475
152;PODKARPACKIE;2018;4218
153;PODKARPACKIE;2019;4825
154;PODKARPACKIE;2020;5411
155;PODLASKIE;2010;3642
156;PODLASKIE;2011;3878
157;PODLASKIE;2012;3861
158;PODLASKIE;2013;3828
159;PODLASKIE;2014;3899
160;PODLASKIE;2015;3954
161;PODLASKIE;2016;3981
162;PODLASKIE;2017;4001
163;PODLASKIE;2018;4404
164;PODLASKIE;2019;4950
165;PODLASKIE;2020;5552
166;MAZOWIECKIE;2010;6579
167;MAZOWIECKIE;2011;6875
168;MAZOWIECKIE;2012;6386
169;MAZOWIECKIE;2013;6093
170;MAZOWIECKIE;2014;6346
171;MAZOWIECKIE;2015;6645
172;MAZOWIECKIE;2016;6674
173;MAZOWIECKIE;2017;6879
174;MAZOWIECKIE;2018;7404
175;MAZOWIECKIE;2019;7877
176;MAZOWIECKIE;2020;8343
