id;area;year;new_cars
135;ŒWIÊTOKRZYSKIE;2012;1239
136;ŒWIÊTOKRZYSKIE;2013;1168
137;ŒWIÊTOKRZYSKIE;2014;831
138;ŒWIÊTOKRZYSKIE;2015;1299
139;ŒWIÊTOKRZYSKIE;2016;1481
140;ŒWIÊTOKRZYSKIE;2017;1861
141;ŒWIÊTOKRZYSKIE;2018;2034
142;ŒWIÊTOKRZYSKIE;2019;2156
143;ŒWIÊTOKRZYSKIE;2020;1523
144;ŒWIÊTOKRZYSKIE;2021;1614
145;LUBELSKIE;2010;1491
146;LUBELSKIE;2011;1745
147;LUBELSKIE;2012;2104
148;LUBELSKIE;2013;1973
149;LUBELSKIE;2014;1299
150;LUBELSKIE;2015;2143
151;LUBELSKIE;2016;2079
152;LUBELSKIE;2017;2602
153;LUBELSKIE;2018;2995
154;LUBELSKIE;2019;2964
155;LUBELSKIE;2020;2454
156;LUBELSKIE;2021;2756
157;PODKARPACKIE;2010;1765
158;PODKARPACKIE;2011;2061
159;PODKARPACKIE;2012;2292
160;PODKARPACKIE;2013;2088
161;PODKARPACKIE;2014;1542
162;PODKARPACKIE;2015;3069
163;PODKARPACKIE;2016;3185
164;PODKARPACKIE;2017;4025
165;PODKARPACKIE;2018;4494
166;PODKARPACKIE;2019;4127
167;PODKARPACKIE;2020;2916
168;PODKARPACKIE;2021;2981
169;PODLASKIE;2010;1096
170;PODLASKIE;2011;1302
171;PODLASKIE;2012;1446
172;PODLASKIE;2013;1258
173;PODLASKIE;2014;847
174;PODLASKIE;2015;1580
175;PODLASKIE;2016;1742
176;PODLASKIE;2017;1912
177;PODLASKIE;2018;2304
178;PODLASKIE;2019;2040
179;PODLASKIE;2020;1544
180;PODLASKIE;2021;1622
181;MAZOWIECKIE;2010;16010
182;MAZOWIECKIE;2011;19555
183;MAZOWIECKIE;2012;21847
184;MAZOWIECKIE;2013;20700
185;MAZOWIECKIE;2014;13219
186;MAZOWIECKIE;2015;26601
187;MAZOWIECKIE;2016;30761
188;MAZOWIECKIE;2017;38251
189;MAZOWIECKIE;2018;41630
190;MAZOWIECKIE;2019;39456
191;MAZOWIECKIE;2020;33394
192;MAZOWIECKIE;2021;33389
